Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Diatom_genus,Density 
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM1,Ecklonia maxima,Adult,NA,NA
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Amphora1,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Cocconeis1,5
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Gomphonema1,7
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Gomphonema2,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Haslea,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Licmophora,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Nagumoea,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Navicula,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM2,Ecklonia maxima,Adult,Tabularia,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Cocconeis1,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Cocconeis2,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Gomphonema1,8
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Gomphonema2,7
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Licmophora,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Nitzschia1,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB1EM3,Ecklonia maxima,Adult,Tabularia,8
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Cocconeis1,6
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Gomphonema1,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Gomphonema2,7
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Grammatophora,10
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Haslea,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM1,Ecklonia maxima,Adult,Tabularia,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Cyclotella,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Gomphonema1,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Gomphonema2,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Nagumoea,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM2,Ecklonia maxima,Adult,Tabularia,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Amphora1,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Cocconeis1,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Gomphonema1,5
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Gomphonema2,9
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Licmophora,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Nagumoea,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Navicula,6
Mayombo,24-Jul-17,False Bay,E_max_A,APB2EM3,Ecklonia maxima,Adult,Tabularia,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM1,Ecklonia maxima,Adult,Licmophora,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM1,Ecklonia maxima,Adult,Navicula,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM1,Ecklonia maxima,Adult,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM1,Ecklonia maxima,Adult,Tabularia,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Cocconeis1,13
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Cocconeis2,7
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Gomphonema1,11
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Gomphonema2,10
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Nagumoea,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Navicula,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM2,Ecklonia maxima,Adult,Tabularia,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Amphora1,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Cocconeis1,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Craspedostauros,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Gomphonema1,12
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Gomphonema2,10
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Nagumoea,6
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Navicula,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Nitzschia1,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Nitzschia2,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Rhoicosphenia,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB3EM3,Ecklonia maxima,Adult,Tabularia,16
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Cocconeis1,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Gomphonema1,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM1,Ecklonia maxima,Adult,Nagumoea,5
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Diploneis,1
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Gomphonema1,6
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Gomphonema2,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Nagumoea,3
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM2,Ecklonia maxima,Adult,Navicula,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Cocconeis1,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Gomphonema1,4
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Gomphonema2,2
Mayombo,24-Jul-17,False Bay,E_max_A,APB4EM3,Ecklonia maxima,Adult,Nagumoea,8
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP1,Laminaria pallida,Adult,Gomphonema1,6
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP1,Laminaria pallida,Adult,Gomphonema2,6
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP2,Laminaria pallida,Adult,Gomphonema1,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema1,4
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Gomphonema2,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB1LP3,Laminaria pallida,Adult,Navicula,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP1,Laminaria pallida,Adult,Gomphonema2,15
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP1,Laminaria pallida,Adult,Nagumoea,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP2,Laminaria pallida,Adult,Nagumoea,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB2LP3,Laminaria pallida,Adult,Licmophora,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Gomphonema2,11
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Nagumoea,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP1,Laminaria pallida,Adult,Navicula,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Gomphonema2,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Nagumoea,3
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP2,Laminaria pallida,Adult,Navicula,2
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Gomphonema1,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Nagumoea,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB3LP3,Laminaria pallida,Adult,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP1,Laminaria pallida,Adult,Gomphonema1,1
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP2,Laminaria pallida,Adult,NA,NA
Mayombo,24-Jul-17,False Bay,L_pal_A,APB4LP3,Laminaria pallida,Adult,Cocconeis1,1
