Site,ID,Sand,Foliose,CC,Mussel,Silt,Sponge
Bordjies Reef,B1,0,12,90,0,0,0
Bordjies Reef,B2,0,10,95,0,0,0
Bordjies Reef,B3,0,8,98,0,0,0
Bordjies Reef,B4,0,10,85,0,0,0
Bordjies Reef,B5,0,5,90,0,0,0
Bordjies Reef,B6,0,20,60,0,0,0
Bordjies Reef,B7,0,20,55,0,0,0
Bordjies Reef,B8,0,35,65,0,0,0
Bordjies Reef,B9,0,30,85,0,0,0
Bordjies Reef,B10,0,20,95,0,0,0
Bordjies Reef,B11,0,25,85,0,0,0
Bordjies Reef,B12,0,20,90,0,0,0
Bordjies Reef,B13,0,50,50,0,0,0
Bordjies Reef,B14,5,30,60,0,0,0
Bordjies Reef,B15,5,0,90,0,0,0
Bordjies Reef,B16,0,10,90,0,0,0
Oudekraal,O1,15,95,50,0,0,0
Oudekraal,O2,20,60,20,0,0,0
Oudekraal,O3,10,30,85,0,0,0
Oudekraal,O4,0,50,95,0,0,0
Oudekraal,O5,20,60,20,0,0,0
Oudekraal,O6,20,40,30,0,0,0
Oudekraal,O7,10,70,20,0,0,0
Oudekraal,O8,0,20,60,0,0,0
Oudekraal,O9,0,40,15,51,95,0
Oudekraal,O10,0,50,0,0,60,0
Oudekraal,O11,0,40,15,80,80,0
Oudekraal,O12,0,20,0,90,90,0
Oudekraal,O13,0,50,10,10,53,0
Oudekraal,O14,0,20,10,65,51,0
Oudekraal,O15,0,30,10,40,20,0
Oudekraal,O16,0,20,10,70,0,0
Betty's Bay,Y1,0,50,20,0,0,0
Betty's Bay,Y2,0,35,5,0,0,0
Betty's Bay,Y3,0,45,15,0,0,0
Betty's Bay,Y4,0,20,30,0,0,0
Betty's Bay,Y5,0,3,12,0,75,10
Betty's Bay,Y6,1,0,5,0,74,20
Betty's Bay,Y7,0,2,10,0,80,15
Betty's Bay,Y8,0,25,5,0,90,90
Betty's Bay,Y9,0,3,20,0,60,80
Betty's Bay,Y10,0,1,40,0,40,60
Betty's Bay,Y11,0,1,30,0,70,80
Betty's Bay,Y12,0,0,70,0,70,30
Betty's Bay,Y13,0,10,45,0,70,40
Betty's Bay,Y14,0,20,35,0,90,45
Betty's Bay,Y15,10,5,30,0,0,30
Betty's Bay,Y16,0,20,15,0,0,50
