,APB1LP1,APB1LP2,APB1LP3,APB2LP1,APB2LP2,APB2LP3,APB3LP1,APB3LP2,APB3LP3,APB4LP1,APB4LP2,APB4LP3,APB1EM1,APB1EM2,APB1EM3,APB2EM1,APB2EM2,APB2EM3,APB3EM1,APB3EM2,APB3EM3,APB4EM1,APB4EM2,APB4EM3,JPB1LP1,JPB1LP2,JPB1LP3,JPB2LP1,JPB2LP2,JPB2LP3,JPB3LP1,JPB3LP2,JPB3LP3,JPB4LP1,JPB4LP2,JPB4LP3,JPB1EM1,JPB1EM2,JPB1EM3,JPB2EM1,JPB2EM2,JPB2EM3,JPB3EM1,JPB3EM2,JPB3EM3,JPB4EM1,JPB4EM2,JPB4EM3
Amphora sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Amphora sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Amphora sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57
Amphora sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Asterompholus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cocconeis sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis sp2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,4,0,1,3,14,1,0,0,2,0,0,0,3,5,3,0,0,0,9,0,0,2,1,1,2,4,2,0,0,1,2,0,0
Cocconeis sp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
Cocconeis sp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Cocconeis sp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cocconeis sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
Craspedostauros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
