Recorder,Date,Site,Host,Replicate,Host_spp,Host_size,Species,Genus,Density 
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM1,Ecklonia maxima,Adult,NA,NA,NA
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Amphora sp1,Amphora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Cocconeis sp1,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,5
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Haslea sp,Haslea,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Navicula sp1,Navicula,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM2,Ecklonia maxima,Adult,Tabularia sp,Tabularia,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Cocconeis sp1,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Cocconeis sp3,Cocconeis,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,2
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,3
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Gomphoseptatum sp2,Gomphoseptatum,5
Mayombo24-jul-17,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Gomphoseptatum sp3,Gomphoseptatum,7
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Licmophora sp,Licmophora,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Nitzschia sp1,Nitzschia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB1EM3,Ecklonia maxima,Adult,Tabularia sp,Tabularia,7
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Cocconeis sp1,Cocconeis,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Cocconeis sp2,Cocconeis,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,6
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,7
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Navicula sp1,Navicula,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Parlibellus sp,Parlibellus,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM1,Ecklonia maxima,Adult,Tabularia sp,Tabularia,6
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Cylindrotheca sp,Cylindrotheca,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Gomphoseptatum sp1,Gomphoseptatum,4
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Nagumoea sp,Nagumoea,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Rhoicosphenia sp,Rhoicosphenia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Tabularia sp,Tabularia,1
Mayombo,24-Jul-17,False Bay,Adult Ecklonia maxima,APB2EM2,Ecklonia maxima,Adult,Trachyneis sp,Trachyneis,1
