Replicate,Host_spp,Host_size,rep,subrep
APB1LP1,Lp,A,1,1
APB1LP2,Lp,A,1,2
APB1LP3,Lp,A,1,3
APB2LP1,Lp,A,2,1
APB2LP2,Lp,A,2,2
APB2LP3,Lp,A,2,3
APB3LP1,Lp,A,3,1
APB3LP2,Lp,A,3,2
APB3LP3,Lp,A,3,3
APB4LP1,Lp,A,4,1
APB4LP2,Lp,A,4,2
APB4LP3,Lp,A,4,3
APB1EM1,Em,A,1,1
APB1EM2,Em,A,1,2
APB1EM3,Em,A,1,3
APB2EM1,Em,A,2,1
APB2EM2,Em,A,2,2
APB2EM3,Em,A,2,3
APB3EM1,Em,A,3,1
APB3EM2,Em,A,3,2
APB3EM3,Em,A,3,3
APB4EM1,Em,A,4,1
APB4EM2,Em,A,4,2
APB4EM3,Em,A,4,3
JPB1LP1,Lp,J,1,1
JPB1LP2,Lp,J,1,2
JPB1LP3,Lp,J,1,3
JPB2LP1,Lp,J,2,1
JPB2LP2,Lp,J,2,2
JPB2LP3,Lp,J,2,3
JPB3LP1,Lp,J,3,1
JPB3LP2,Lp,J,3,2
JPB3LP3,Lp,J,3,3
JPB4LP1,Lp,J,4,1
JPB4LP2,Lp,J,4,2
JPB4LP3,Lp,J,4,3
JPB1EM1,Em,J,1,1
JPB1EM2,Em,J,1,2
JPB1EM3,Em,J,1,3
JPB2EM1,Em,J,2,1
JPB2EM2,Em,J,2,2
JPB2EM3,Em,J,2,3
JPB3EM1,Em,J,3,1
JPB3EM2,Em,J,3,2
JPB3EM3,Em,J,3,3
JPB4EM1,Em,J,4,1
JPB4EM2,Em,J,4,2
JPB4EM3,Em,J,4,3
